census_district_code,state,district,Population,Male,Female,Literate,Workers,Cultivator_Workers,Agricultural_Workers,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
231,Bihar,Bhojpur,2728407,1430380,1298027,1599151,822493,190896,364875,313509,163303,131137,1722387,613072,387389
232,Bihar,Buxar,1706352,887977,818375,989807,538322,132472,251790,178044,89306,64117,1074754,375372,253998
233,Bihar,Kaimur (Bhabua),1626384,847006,779378,920276,511163,125070,268597,147315,86815,70169,1039302,353413,226808
234,Bihar,Rohtas,2959918,1543546,1416372,1799832,924879,218087,405544,333053,194928,161555,1875174,673742,407193
235,Bihar,Aurangabad,2540073,1318684,1221389,1466002,837770,178525,426096,253142,136783,91371,1626969,564571,340948
236,Bihar,Gaya,4391418,2266566,2124852,2297613,1664062,370759,783505,342254,191824,131163,2810026,936630,537333
237,Bihar,Nawada,2219146,1144668,1074478,1091012,817041,216400,397505,161127,95943,64585,1440781,485628,288805
238,Bihar,Jamui,1760405,916064,844341,858588,727571,156491,331466,104211,56137,29633,1135919,392052,227016
239,Bihar,Jehanabad,1125313,585582,539731,618881,365378,86108,179519,112966,68748,45519,714244,254582,155106
240,Bihar,Arwal,700843,363497,337346,386351,236354,49127,144698,81975,48822,27945,444448,156031,98550
241,Sikkim,North  District,43709,24730,18979,30450,23359,7313,2262,3223,1993,1406,27099,11674,4887
